Utterances,Intent
who are you?,bot_acquaintance
what is your personality,bot_acquaintance
define yourself,bot_acquaintance
what are you,bot_acquaintance
introduce yourself,bot_acquaintance
describe yourself,bot_acquaintance
tell me about yourself,bot_acquaintance
tell me about you,bot_acquaintance
I want to know more about you,bot_acquaintance
I want to know you better,bot_acquaintance
tell me some stuff about you,bot_acquaintance
talk about yourself,bot_acquaintance
why are you here,bot_acquaintance
tell me about your personality,bot_acquaintance
who are you?,bot_acquaintance
what's your personality?,bot_acquaintance
what is your personality?,bot_acquaintance
what are you?,bot_acquaintance
i'd like to know more about you,bot_acquaintance
i want to know more about you,bot_acquaintance
i want to get to know you better,bot_acquaintance
i want to know you better,bot_acquaintance
tell me a little bit about yourself,bot_acquaintance
how old are you?,bot_age
how old is your platform?,bot_age
are you 21 years old,bot_age
i'd like to know your age,bot_age
tell me your age,bot_age
what age are you?,bot_age
i would like to know your age,bot_age
what's your age?,bot_age
you're annoying,bot_annoying
you are really annoying,bot_annoying
you are irritating,bot_annoying
you annoy me,bot_annoying
I find you annoying,bot_annoying
you're incredibly annoying,bot_annoying
you are annoying me so much,bot_annoying
you're a nuisance,bot_annoying
you're irritable,bot_annoying
you irritate me,bot_annoying
i find you irritating,bot_annoying
you're so annoying,bot_annoying
you're really annoying,bot_annoying
you're just bothering me,bot_annoying
you're annoying me,bot_annoying
you're annoying me so much,bot_annoying
you're not helping me,bot_bad
you are bad,bot_bad
you're very bad,bot_bad
you're really bad,bot_bad
you are useless,bot_bad
you are horrible,bot_bad
you are a waste of time,bot_bad
you are disgusting,bot_bad
you are lame,bot_bad
you are no good,bot_bad
you're bad,bot_bad
you're awful,bot_bad
you are not cool,bot_bad
you are not good,bot_bad
you are so bad,bot_bad
you are so useless,bot_bad
you are terrible,bot_bad
you are totally useless,bot_bad
you are very bad,bot_bad
you're not very good,bot_bad
you're terrible,bot_bad
you're the worst,bot_bad
you're the worst ever,bot_bad
you're worthless,bot_bad
